dataset,model_name,acc,macro_f1,brier,n_test
IMDB,Zero-Shot Flan-T5,0.9194,0.9193588117066673,0.0806,5000
IMDB,Few-Shot Flan-T5,0.921,0.9209969631232624,0.079,5000
Rotten Tomatoes,Zero-Shot Flan-T5,0.8388003748828491,0.8387254385039895,0.16119962511715089,1067
Rotten Tomatoes,Few-Shot Flan-T5,0.8481724461105904,0.8481659112469695,0.15182755388940955,1067
